Name, Year, Rating 
The Shawshank Redemption,(1994),9.3
The Dark Knight,(2008),9.0
Inception,(2010),8.8
Fight Club,(1999),8.8
Forrest Gump,(1994),8.8
Pulp Fiction,(1994),8.9
The Matrix,(1999),8.7
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8
The Godfather,(1972),9.2
The Lord of the Rings: The Return of the King,(2003),9.0
The Dark Knight Rises,(2012),8.4
The Lord of the Rings: The Two Towers,(2002),8.8
Se7en,(1995),8.6
Django Unchained,(2012),8.4
Gladiator,(2000),8.5
Batman Begins,(2005),8.2
Inglourious Basterds,(2009),8.3
The Silence of the Lambs,(1991),8.6
The Avengers,(2012),8.0
Saving Private Ryan,(1998),8.6
Star Wars,(1977),8.6
Schindler's List,(1993),9.0
The Prestige,(2006),8.5
The Departed,(2006),8.5
Shutter Island,(2010),8.2
The Green Mile,(1999),8.6
The Empire Strikes Back,(1980),8.7
Avatar,(2009),7.9
The Godfather Part II,(1974),9.0
Memento,(2000),8.4
Back to the Future,(1985),8.5
Titanic,(1997),7.9
Goodfellas,(1990),8.7
Léon,(1994),8.5
American Beauty,(1999),8.4
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.1
American History X,(1998),8.5
V for Vendetta,(2005),8.2
Kill Bill: Vol. 1,(2003),8.2
WALL·E,(2008),8.4
Terminator 2: Judgment Day,(1991),8.6
The Usual Suspects,(1995),8.5
The Truman Show,(1998),8.2
Iron Man,(2008),7.9
The Lion King,(1994),8.5
Star Wars: Episode VI - Return of the Jedi,(1983),8.3
Up,(2009),8.3
Finding Nemo,(2003),8.2
Braveheart,(1995),8.4
The Shining,(1980),8.4
